"zh_url","en_target_url","page_type","language_pair_status","language_switch_rule","canonical_strategy","hreflang_set","business_verification_required","evidence_source","notes"
"https://www.bostarcoating.com/","https://www.bostarcoating.com/en","home","TRANSLATION_NOT_STARTED","same-entity-same-depth","self-canonical-per-locale","zh-CN|en|x-default","NO","audit/04-production-url-inventory.csv","contains-form; nav-links:11"
"https://www.bostarcoating.com/about","https://www.bostarcoating.com/en/about","about","TRANSLATION_NOT_STARTED","same-entity-same-depth","self-canonical-per-locale","zh-CN|en|x-default","NO","audit/04-production-url-inventory.csv","nav-links:12"
"https://www.bostarcoating.com/cases","https://www.bostarcoating.com/en/cases","case-index","TRANSLATION_NOT_STARTED","same-entity-same-depth","self-canonical-per-locale","zh-CN|en|x-default","NO","audit/04-production-url-inventory.csv","nav-links:12"
"https://www.bostarcoating.com/contact","https://www.bostarcoating.com/en/contact","contact","TRANSLATION_NOT_STARTED","same-entity-same-depth","self-canonical-per-locale","zh-CN|en|x-default","NO","audit/04-production-url-inventory.csv","contains-form; nav-links:12"
"https://www.bostarcoating.com/downloads","https://www.bostarcoating.com/en/downloads","download-index","TRANSLATION_NOT_STARTED","same-entity-same-depth","self-canonical-per-locale","zh-CN|en|x-default","NO","audit/04-production-url-inventory.csv","nav-links:12"
"https://www.bostarcoating.com/downloads/controller-manual","https://www.bostarcoating.com/en/downloads/controller-manual","download-detail","TRANSLATION_NOT_STARTED","same-entity-same-depth","self-canonical-per-locale","zh-CN|en|x-default","YES","audit/04-production-url-inventory.csv","nav-links:13"
"https://www.bostarcoating.com/downloads/disk-system-sheet","https://www.bostarcoating.com/en/downloads/disk-system-sheet","download-detail","TRANSLATION_NOT_STARTED","same-entity-same-depth","self-canonical-per-locale","zh-CN|en|x-default","YES","audit/04-production-url-inventory.csv","nav-links:13"
"https://www.bostarcoating.com/downloads/maintenance-guide","https://www.bostarcoating.com/en/downloads/maintenance-guide","download-detail","TRANSLATION_NOT_STARTED","same-entity-same-depth","self-canonical-per-locale","zh-CN|en|x-default","YES","audit/04-production-url-inventory.csv","nav-links:13"
"https://www.bostarcoating.com/downloads/powder-gun-catalog","https://www.bostarcoating.com/en/downloads/powder-gun-catalog","download-detail","TRANSLATION_NOT_STARTED","same-entity-same-depth","self-canonical-per-locale","zh-CN|en|x-default","YES","audit/04-production-url-inventory.csv","nav-links:13"
"https://www.bostarcoating.com/downloads/troubleshooting-checklist","https://www.bostarcoating.com/en/downloads/troubleshooting-checklist","download-detail","TRANSLATION_NOT_STARTED","same-entity-same-depth","self-canonical-per-locale","zh-CN|en|x-default","YES","audit/04-production-url-inventory.csv","nav-links:13"
