url,target_url,action,expected_status,actual_status,final_status,final_url,redirect_count,deployment,title,canonical,robots,html_lang,hreflang_status,content_type,result,evidence_source,notes
https://bostarcoating.com/,https://www.bostarcoating.com/,REDIRECT_301,301,301,200,https://www.bostarcoating.com/,1,dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,博士达静电喷涂设备官网_智能液体粉体涂装系统_高速静电旋杯厂家BOSTAR,https://www.bostarcoating.com,"index, follow",zh-CN,PASS,text/html; charset=utf-8,PASS_301,manifest:audit/04-production-url-inventory.csv; deployment:dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,redirect-chain:301:/ -> 200:/
https://bostarcoating.com/about,https://www.bostarcoating.com/about,REDIRECT_301,301,301,200,https://www.bostarcoating.com/about,1,dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,关于博士达 | BOSTAR,https://www.bostarcoating.com/about,"index, follow",zh-CN,PASS,text/html; charset=utf-8,PASS_301,manifest:audit/04-production-url-inventory.csv; deployment:dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,redirect-chain:301:/about -> 200:/about
https://bostarcoating.com/contact,https://www.bostarcoating.com/contact,REDIRECT_301,301,301,200,https://www.bostarcoating.com/contact,1,dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,联系我们 | BOSTAR,https://www.bostarcoating.com/contact,"index, follow",zh-CN,PASS,text/html; charset=utf-8,PASS_301,manifest:audit/04-production-url-inventory.csv; deployment:dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,redirect-chain:301:/contact -> 200:/contact
https://bostarcoating.com/downloads,https://www.bostarcoating.com/downloads,REDIRECT_301,301,301,200,https://www.bostarcoating.com/downloads,1,dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,资料下载 | BOSTAR,https://www.bostarcoating.com/downloads,"index, follow",zh-CN,PASS,text/html; charset=utf-8,PASS_301,manifest:audit/04-production-url-inventory.csv; deployment:dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,redirect-chain:301:/downloads -> 200:/downloads
https://bostarcoating.com/downloads/controller-manual,https://www.bostarcoating.com/downloads/controller-manual,REDIRECT_301,301,301,200,https://www.bostarcoating.com/downloads/controller-manual,1,dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,静电喷涂控制器说明书 | BOSTAR,https://www.bostarcoating.com/downloads/controller-manual,"index, follow",zh-CN,PASS,text/html; charset=utf-8,PASS_301,manifest:audit/04-production-url-inventory.csv; deployment:dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,redirect-chain:301:/downloads/controller-manual -> 200:/downloads/controller-manual
https://bostarcoating.com/downloads/disk-system-sheet,https://www.bostarcoating.com/downloads/disk-system-sheet,REDIRECT_301,301,301,200,https://www.bostarcoating.com/downloads/disk-system-sheet,1,dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,DISK 静电旋碟系统资料 | BOSTAR,https://www.bostarcoating.com/downloads/disk-system-sheet,"index, follow",zh-CN,PASS,text/html; charset=utf-8,PASS_301,manifest:audit/04-production-url-inventory.csv; deployment:dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,redirect-chain:301:/downloads/disk-system-sheet -> 200:/downloads/disk-system-sheet
https://bostarcoating.com/downloads/maintenance-guide,https://www.bostarcoating.com/downloads/maintenance-guide,REDIRECT_301,301,301,200,https://www.bostarcoating.com/downloads/maintenance-guide,1,dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,喷枪日常维护指南 | BOSTAR,https://www.bostarcoating.com/downloads/maintenance-guide,"index, follow",zh-CN,PASS,text/html; charset=utf-8,PASS_301,manifest:audit/04-production-url-inventory.csv; deployment:dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,redirect-chain:301:/downloads/maintenance-guide -> 200:/downloads/maintenance-guide
https://bostarcoating.com/downloads/powder-gun-catalog,https://www.bostarcoating.com/downloads/powder-gun-catalog,REDIRECT_301,301,301,200,https://www.bostarcoating.com/downloads/powder-gun-catalog,1,dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,粉末静电喷枪产品画册 | BOSTAR,https://www.bostarcoating.com/downloads/powder-gun-catalog,"index, follow",zh-CN,PASS,text/html; charset=utf-8,PASS_301,manifest:audit/04-production-url-inventory.csv; deployment:dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,redirect-chain:301:/downloads/powder-gun-catalog -> 200:/downloads/powder-gun-catalog
https://bostarcoating.com/downloads/troubleshooting-checklist,https://www.bostarcoating.com/downloads/troubleshooting-checklist,REDIRECT_301,301,301,200,https://www.bostarcoating.com/downloads/troubleshooting-checklist,1,dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,喷涂故障排查清单 | BOSTAR,https://www.bostarcoating.com/downloads/troubleshooting-checklist,"index, follow",zh-CN,PASS,text/html; charset=utf-8,PASS_301,manifest:audit/04-production-url-inventory.csv; deployment:dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,redirect-chain:301:/downloads/troubleshooting-checklist -> 200:/downloads/troubleshooting-checklist
https://bostarcoating.com/knowledge,https://www.bostarcoating.com/knowledge,REDIRECT_301,301,301,200,https://www.bostarcoating.com/knowledge,1,dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,知识中心 | BOSTAR,https://www.bostarcoating.com/knowledge,"index, follow",zh-CN,PASS,text/html; charset=utf-8,PASS_301,manifest:audit/04-production-url-inventory.csv; deployment:dpl_AJn9W2vkJZ9zWdQHrUAdT7UkHM8h,redirect-chain:301:/knowledge -> 200:/knowledge
