url,status,page_type,title,meta_description,h1,canonical,canonical_status,robots,html_lang,hreflang_zh,hreflang_en,x_default,hreflang_status,sitemap_status,schema_types,schema_status,og_url,result,notes
https://www.bostarcoating.com/,200,home,博士达静电喷涂设备官网_智能液体粉体涂装系统_高速静电旋杯厂家BOSTAR,博士达(BOSTAR)专注于高性能工业静电喷涂设备、智能化涂装系统及精密流体配件的研发与制造。产品涵盖液体/粉末静电喷枪、高速静电旋杯、DISK旋盘系统等、高压无气静电喷枪，为汽车、五金、家电等行业提供高效低碳的表面涂装解决方案。,以绝对精度，定义每一道涂层。,https://www.bostarcoating.com,PASS,"index, follow",zh-CN,https://www.bostarcoating.com,https://www.bostarcoating.com/en,https://www.bostarcoating.com,PASS,IN_SITEMAP,Answer | Brand | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | EntryPoint | FAQPage | IndustrialManufacturer | Language | ListItem | OfferCatalog | Organization | PostalAddress | PropertyValue | QuantitativeValue | Question | SearchAction | WebSite,PRESENT,https://www.bostarcoating.com,PASS,
https://www.bostarcoating.com/about,200,about,关于博士达 | BOSTAR,了解博士达在工业喷涂设备、静电喷枪、自动化涂装系统和工程交付方面的能力。,精密静电涂装，赋能高效工业。,https://www.bostarcoating.com/about,PASS,"index, follow",zh-CN,https://www.bostarcoating.com/about,https://www.bostarcoating.com/en/about,https://www.bostarcoating.com/about,PASS,IN_SITEMAP,Brand | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | EntryPoint | IndustrialManufacturer | Language | ListItem | OfferCatalog | Organization | PostalAddress | PropertyValue | QuantitativeValue | SearchAction | WebSite,PRESENT,https://www.bostarcoating.com/about,PASS,
https://www.bostarcoating.com/cases,200,case-index,案例中心 | BOSTAR,博士达粉末静电喷涂设备行业应用案例。,案例中心,https://www.bostarcoating.com/cases,PASS,"index, follow",zh-CN,https://www.bostarcoating.com/cases,https://www.bostarcoating.com/en/cases,https://www.bostarcoating.com/cases,PASS,IN_SITEMAP,Brand | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | EntryPoint | IndustrialManufacturer | Language | ListItem | OfferCatalog | Organization | PostalAddress | PropertyValue | QuantitativeValue | SearchAction | WebSite,PRESENT,https://www.bostarcoating.com/cases,PASS,
https://www.bostarcoating.com/contact,200,contact,联系我们 | BOSTAR,提交静电喷涂设备选型、报价、资料下载和售后维护需求。,联系博士达,https://www.bostarcoating.com/contact,PASS,"index, follow",zh-CN,https://www.bostarcoating.com/contact,https://www.bostarcoating.com/en/contact,https://www.bostarcoating.com/contact,PASS,IN_SITEMAP,Brand | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | EntryPoint | IndustrialManufacturer | Language | ListItem | LocalBusiness | OfferCatalog | Organization | PostalAddress | PropertyValue | QuantitativeValue | SearchAction | WebSite,PRESENT,https://www.bostarcoating.com/contact,PASS,
https://www.bostarcoating.com/downloads,200,download-index,资料下载 | BOSTAR,下载粉末静电喷枪画册、控制器说明书、DISK 系统资料、故障排查清单和维护指南。,资料下载,https://www.bostarcoating.com/downloads,PASS,"index, follow",zh-CN,https://www.bostarcoating.com/downloads,https://www.bostarcoating.com/en/downloads,https://www.bostarcoating.com/downloads,PASS,IN_SITEMAP,Brand | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | EntryPoint | IndustrialManufacturer | Language | ListItem | OfferCatalog | Organization | PostalAddress | PropertyValue | QuantitativeValue | SearchAction | WebSite,PRESENT,https://www.bostarcoating.com/downloads,PASS,
https://www.bostarcoating.com/downloads/controller-manual,200,download-detail,静电喷涂控制器说明书 | BOSTAR,静电喷涂控制器说明书,静电喷涂控制器说明书,https://www.bostarcoating.com/downloads/controller-manual,PASS,"index, follow",zh-CN,https://www.bostarcoating.com/downloads/controller-manual,https://www.bostarcoating.com/en/downloads/controller-manual,https://www.bostarcoating.com/downloads/controller-manual,PASS,IN_SITEMAP,Brand | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | EntryPoint | IndustrialManufacturer | Language | ListItem | OfferCatalog | Organization | PostalAddress | PropertyValue | QuantitativeValue | SearchAction | WebSite,PRESENT,https://www.bostarcoating.com/downloads/controller-manual,PASS,
https://www.bostarcoating.com/downloads/disk-system-sheet,200,download-detail,DISK 静电旋碟系统资料 | BOSTAR,DISK 静电旋碟系统资料,DISK 静电旋碟系统资料,https://www.bostarcoating.com/downloads/disk-system-sheet,PASS,"index, follow",zh-CN,https://www.bostarcoating.com/downloads/disk-system-sheet,https://www.bostarcoating.com/en/downloads/disk-system-sheet,https://www.bostarcoating.com/downloads/disk-system-sheet,PASS,IN_SITEMAP,Brand | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | EntryPoint | IndustrialManufacturer | Language | ListItem | OfferCatalog | Organization | PostalAddress | PropertyValue | QuantitativeValue | SearchAction | WebSite,PRESENT,https://www.bostarcoating.com/downloads/disk-system-sheet,PASS,
https://www.bostarcoating.com/downloads/maintenance-guide,200,download-detail,喷枪日常维护指南 | BOSTAR,喷枪日常维护指南,喷枪日常维护指南,https://www.bostarcoating.com/downloads/maintenance-guide,PASS,"index, follow",zh-CN,https://www.bostarcoating.com/downloads/maintenance-guide,https://www.bostarcoating.com/en/downloads/maintenance-guide,https://www.bostarcoating.com/downloads/maintenance-guide,PASS,IN_SITEMAP,Brand | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | EntryPoint | IndustrialManufacturer | Language | ListItem | OfferCatalog | Organization | PostalAddress | PropertyValue | QuantitativeValue | SearchAction | WebSite,PRESENT,https://www.bostarcoating.com/downloads/maintenance-guide,PASS,
https://www.bostarcoating.com/downloads/powder-gun-catalog,200,download-detail,粉末静电喷枪产品画册 | BOSTAR,粉末静电喷枪产品画册,粉末静电喷枪产品画册,https://www.bostarcoating.com/downloads/powder-gun-catalog,PASS,"index, follow",zh-CN,https://www.bostarcoating.com/downloads/powder-gun-catalog,https://www.bostarcoating.com/en/downloads/powder-gun-catalog,https://www.bostarcoating.com/downloads/powder-gun-catalog,PASS,IN_SITEMAP,Brand | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | EntryPoint | IndustrialManufacturer | Language | ListItem | OfferCatalog | Organization | PostalAddress | PropertyValue | QuantitativeValue | SearchAction | WebSite,PRESENT,https://www.bostarcoating.com/downloads/powder-gun-catalog,PASS,
https://www.bostarcoating.com/downloads/troubleshooting-checklist,200,download-detail,喷涂故障排查清单 | BOSTAR,喷涂故障排查清单,喷涂故障排查清单,https://www.bostarcoating.com/downloads/troubleshooting-checklist,PASS,"index, follow",zh-CN,https://www.bostarcoating.com/downloads/troubleshooting-checklist,https://www.bostarcoating.com/en/downloads/troubleshooting-checklist,https://www.bostarcoating.com/downloads/troubleshooting-checklist,PASS,IN_SITEMAP,Brand | BreadcrumbList | ContactPoint | Country | EducationalOccupationalCredential | EntryPoint | IndustrialManufacturer | Language | ListItem | OfferCatalog | Organization | PostalAddress | PropertyValue | QuantitativeValue | SearchAction | WebSite,PRESENT,https://www.bostarcoating.com/downloads/troubleshooting-checklist,PASS,
