"current_url","http_status","sitemap_status","page_type","current_content_entity","current_canonical","target_status","target_url","action","action_reason","preserve_content","redirect_type","language","indexability","business_verification_required","evidence_source","owner","notes"
"https://bostarcoating.com/","200","NOT_IN_SITEMAP","home","brand-homepage","https://www.bostarcoating.com/","301","https://www.bostarcoating.com/","REDIRECT_301","Unify bare host to primary www host to remove duplicate-access surfaces and align canonical policy.","YES","HOST_CANONICALIZATION","zh-CN","YES","NO","audit/04-production-url-inventory.csv","SEO_GEO","contains-form; nav-links:11"
"https://bostarcoating.com/about","200","NOT_IN_SITEMAP","about","brand-about","https://www.bostarcoating.com/","301","https://www.bostarcoating.com/about","REDIRECT_301","Unify bare host to primary www host to remove duplicate-access surfaces and align canonical policy.","YES","HOST_CANONICALIZATION","zh-CN","YES","NO","audit/04-production-url-inventory.csv","SEO_GEO","nav-links:12"
"https://bostarcoating.com/contact","200","NOT_IN_SITEMAP","contact","contact-hub","https://www.bostarcoating.com/","301","https://www.bostarcoating.com/contact","REDIRECT_301","Unify bare host to primary www host to remove duplicate-access surfaces and align canonical policy.","YES","HOST_CANONICALIZATION","zh-CN","YES","NO","audit/04-production-url-inventory.csv","SEO_GEO","contains-form; nav-links:12"
"https://bostarcoating.com/downloads","200","NOT_IN_SITEMAP","download-index","download-index","https://www.bostarcoating.com/","301","https://www.bostarcoating.com/downloads","REDIRECT_301","Unify bare host to primary www host to remove duplicate-access surfaces and align canonical policy.","YES","HOST_CANONICALIZATION","zh-CN","YES","NO","audit/04-production-url-inventory.csv","SEO_GEO","nav-links:12"
"https://bostarcoating.com/downloads/controller-manual","200","NOT_IN_SITEMAP","download-detail","download:controller-manual","https://www.bostarcoating.com/","301","https://www.bostarcoating.com/downloads/controller-manual","REDIRECT_301","Unify bare host to primary www host to remove duplicate-access surfaces and align canonical policy.","YES","HOST_CANONICALIZATION","zh-CN","YES","NO","audit/04-production-url-inventory.csv","SEO_GEO","nav-links:13"
"https://bostarcoating.com/downloads/disk-system-sheet","200","NOT_IN_SITEMAP","download-detail","download:disk-system-sheet","https://www.bostarcoating.com/","301","https://www.bostarcoating.com/downloads/disk-system-sheet","REDIRECT_301","Unify bare host to primary www host to remove duplicate-access surfaces and align canonical policy.","YES","HOST_CANONICALIZATION","zh-CN","YES","NO","audit/04-production-url-inventory.csv","SEO_GEO","nav-links:13"
"https://bostarcoating.com/downloads/maintenance-guide","200","NOT_IN_SITEMAP","download-detail","download:maintenance-guide","https://www.bostarcoating.com/","301","https://www.bostarcoating.com/downloads/maintenance-guide","REDIRECT_301","Unify bare host to primary www host to remove duplicate-access surfaces and align canonical policy.","YES","HOST_CANONICALIZATION","zh-CN","YES","NO","audit/04-production-url-inventory.csv","SEO_GEO","nav-links:13"
"https://bostarcoating.com/downloads/powder-gun-catalog","200","NOT_IN_SITEMAP","download-detail","download:powder-gun-catalog","https://www.bostarcoating.com/","301","https://www.bostarcoating.com/downloads/powder-gun-catalog","REDIRECT_301","Unify bare host to primary www host to remove duplicate-access surfaces and align canonical policy.","YES","HOST_CANONICALIZATION","zh-CN","YES","NO","audit/04-production-url-inventory.csv","SEO_GEO","nav-links:13"
"https://bostarcoating.com/downloads/troubleshooting-checklist","200","NOT_IN_SITEMAP","download-detail","download:troubleshooting-checklist","https://www.bostarcoating.com/","301","https://www.bostarcoating.com/downloads/troubleshooting-checklist","REDIRECT_301","Unify bare host to primary www host to remove duplicate-access surfaces and align canonical policy.","YES","HOST_CANONICALIZATION","zh-CN","YES","NO","audit/04-production-url-inventory.csv","SEO_GEO","nav-links:13"
"https://bostarcoating.com/knowledge","200","NOT_IN_SITEMAP","knowledge-index","knowledge-index","https://www.bostarcoating.com/","301","https://www.bostarcoating.com/knowledge","REDIRECT_301","Unify bare host to primary www host to remove duplicate-access surfaces and align canonical policy.","YES","HOST_CANONICALIZATION","zh-CN","YES","NO","audit/04-production-url-inventory.csv","SEO_GEO","nav-links:12"
