url,discovered_from,sitemap_status,http_status,final_url,redirect_count,page_type,language,title,meta_description,h1,canonical,canonical_classification,robots_meta,indexable,hreflang,schema_types,internal_link_count,image_count,missing_alt_count,form_count,download_count,content_hash,notes
https://bostarcoating.com/,homepage-seed,NOT_IN_SITEMAP,200,https://bostarcoating.com/,0,home,zh-CN,博士达静电喷涂设备官网_智能液体粉体涂装系统_高速静电旋杯厂家BOSTAR,博士达(BOSTAR)专注于高性能工业静电喷涂设备、智能化涂装系统及精密流体配件的研发与制造。产品涵盖液体/粉末静电喷枪、高速静电旋杯、DISK旋盘系统等、高压无气静电喷枪，为汽车、五金、家电等行业提供高效低碳的表面涂装解决方案。,以绝对精准，定义每一道涂层。,https://www.bostarcoating.com/,CROSS_HOST_SAME_PATH,"index, follow",YES,,BreadcrumbList | FAQPage | IndustrialManufacturer | WebSite,38,9,0,1,0,7bd72c6498ebb302d5b1383b3ff791ad898e5f7e079c53f1c2a0d9683532473e,contains-form; nav-links:11
https://bostarcoating.com/about,nav-link,NOT_IN_SITEMAP,200,https://bostarcoating.com/about,0,about,zh-CN,关于博士达 | BOSTAR,了解博士达在工业喷涂设备、粉末与液体涂装系统和自动化产线方面的服务能力。,精密静电涂装，赋能高效工业。,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,12,1,0,0,0,6b486f5bd41223191c3b590118094df6ff74cd73c13cadb679236fdbfac35e0c,nav-links:12
https://bostarcoating.com/contact,nav-link,NOT_IN_SITEMAP,200,https://bostarcoating.com/contact,0,contact,zh-CN,联系我们 | BOSTAR,提交静电喷涂设备选型、报价、资料下载和售后维护需求。,联系博士达,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | LocalBusiness | WebSite,12,1,0,1,0,749047e6a633b73ca68a73af670cdaaa1070f393006cdc5633e4975eb36e35cc,contains-form; nav-links:12
https://bostarcoating.com/downloads,recursive:https://bostarcoating.com/,NOT_IN_SITEMAP,200,https://bostarcoating.com/downloads,0,download-index,zh-CN,资料下载 | BOSTAR,下载粉末静电喷枪画册、控制器说明书、DISK 系统资料、故障排查清单和维护指南。,资料下载,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,17,1,0,0,0,c54d877982fac47ede37f72066648ca51899c7937beef6eb9c451d802deee239,nav-links:12
https://bostarcoating.com/downloads/controller-manual,recursive:https://bostarcoating.com/,NOT_IN_SITEMAP,200,https://bostarcoating.com/downloads/controller-manual,0,download-detail,zh-CN,静电喷涂控制器说明书 | BOSTAR,静电喷涂控制器说明书,静电喷涂控制器说明书,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,14,1,0,0,1,29719327a59151aad169b575ed6d308ae83a7420d95e25e0881fa4256e2830c3,nav-links:13
https://bostarcoating.com/downloads/disk-system-sheet,recursive:https://bostarcoating.com/,NOT_IN_SITEMAP,200,https://bostarcoating.com/downloads/disk-system-sheet,0,download-detail,zh-CN,DISK 静电旋碟系统资料 | BOSTAR,DISK 静电旋碟系统资料,DISK 静电旋碟系统资料,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,14,1,0,0,1,7463302633c551bf79af31bbd75c85a1ff6e0f3cece3329c87416e7a988dce01,nav-links:13
https://bostarcoating.com/downloads/maintenance-guide,recursive:https://bostarcoating.com/,NOT_IN_SITEMAP,200,https://bostarcoating.com/downloads/maintenance-guide,0,download-detail,zh-CN,喷枪日常维护指南 | BOSTAR,喷枪日常维护指南,喷枪日常维护指南,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,14,1,0,0,1,61cce89d5118e96741cbfcdb21be36f35d7c6922d70578098ddbdc3fc69ebcf1,nav-links:13
https://bostarcoating.com/downloads/powder-gun-catalog,recursive:https://bostarcoating.com/downloads,NOT_IN_SITEMAP,200,https://bostarcoating.com/downloads/powder-gun-catalog,0,download-detail,zh-CN,粉末静电喷枪产品画册 | BOSTAR,粉末静电喷枪产品画册,粉末静电喷枪产品画册,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,14,1,0,0,1,9f40eba4f194bde52bb1cb965e250a2f80986b1b3bce889261316fcd959b70d5,nav-links:13
https://bostarcoating.com/downloads/troubleshooting-checklist,recursive:https://bostarcoating.com/,NOT_IN_SITEMAP,200,https://bostarcoating.com/downloads/troubleshooting-checklist,0,download-detail,zh-CN,喷涂故障排查清单 | BOSTAR,喷涂故障排查清单,喷涂故障排查清单,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,14,1,0,0,1,b68336899cd765397e28b006a1cb29442d7da799a8e4fb9471bacb91a68043b8,nav-links:13
https://bostarcoating.com/knowledge,nav-link,NOT_IN_SITEMAP,200,https://bostarcoating.com/knowledge,0,knowledge-index,zh-CN,知识中心 | BOSTAR,静电喷枪选型、粉末喷涂工艺、故障排查、操作维护和安全规范知识库。,知识中心,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,24,1,0,0,0,18836f279db5d9e4b26360554eadbab0b4a3957a3fde5bb43401fd63add3cdc0,nav-links:12
https://bostarcoating.com/knowledge/faq,recursive:https://bostarcoating.com/knowledge,NOT_IN_SITEMAP,200,https://bostarcoating.com/knowledge/faq,0,knowledge-category,zh-CN,常见问题 | BOSTAR,常见问题文章列表,常见问题,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,12,1,0,0,0,9c468d1176a4bc043f81318ab4f782e8651ae4627aa6c6247455c737687e38d6,nav-links:13
https://bostarcoating.com/knowledge/industry-encyclopedia,recursive:https://bostarcoating.com/knowledge,NOT_IN_SITEMAP,200,https://bostarcoating.com/knowledge/industry-encyclopedia,0,knowledge-category,zh-CN,行业百科 | BOSTAR,行业百科文章列表,行业百科,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,12,1,0,0,0,4fe0d2fa794555f5ba6efd98597d6e7f1fb8d575bc74436d4ac29b23939183ea,nav-links:13
https://bostarcoating.com/knowledge/operation-maintenance,recursive:https://bostarcoating.com/knowledge,NOT_IN_SITEMAP,200,https://bostarcoating.com/knowledge/operation-maintenance,0,knowledge-category,zh-CN,操作维护 | BOSTAR,操作维护文章列表,操作维护,https://www.bostarcoating.com/,HOMEPAGE_CANONICAL,"index, follow",YES,,BreadcrumbList | IndustrialManufacturer | WebSite,12,1,0,0,0,d77279da919bb0b5ba7cf1e3f221454c7fa17563cecfb50896e49f3e3ebcddda,nav-links:13
